Program Time [s],AccX,AccY,AccZ
2523.55,738.77,411.62,537.6
2523.58,735.84,405.76,543.95
2523.62,735.84,417.48,549.32
2523.65,747.07,404.3,543.95
2523.69,738.28,415.04,542.48
2523.72,745.12,412.11,543.46
2523.75,725.1,421.87,534.67
2523.79,730.96,423.34,540.53
2523.82,751.95,422.85,557.13
2523.86,740.23,404.79,549.8
2523.89,747.07,412.11,549.32
2523.92,731.93,417.48,530.27
2523.96,745.12,407.23,541.02
2523.99,735.35,419.92,541.99
2524.02,732.91,416.99,538.57
2524.06,735.84,420.9,541.99
2524.09,751.95,421.39,547.85
2524.13,738.28,407.71,539.55
2524.16,729,411.13,550.78
2524.19,738.28,410.16,552.25
2524.23,730.96,415.04,535.64
2524.26,744.63,403.81,542.48
2524.3,747.56,417.48,539.55
2524.33,733.89,407.71,561.52
2524.36,731.45,425.78,533.69
2524.4,741.21,427.25,547.85
2524.43,735.84,408.2,548.83
2524.47,750,395.02,544.92
2524.5,760.25,414.06,544.43
2524.53,733.4,412.6,545.41
2524.57,736.33,417.97,550.78
2524.6,739.26,413.57,541.02
2524.64,732.91,422.85,533.2
2524.67,737.3,414.55,555.18
2524.7,748.54,411.62,548.83
2524.74,742.68,417.97,553.71
2524.77,731.45,404.79,558.59
2524.8,757.32,417.48,548.83
2524.84,706.54,435.06,507.81
2524.87,737.79,416.02,538.09
2524.91,744.63,388.18,575.68
2524.94,734.37,409.67,564.45
2524.97,722.17,431.64,522.46
2525.01,735.84,433.11,513.18
2525.04,750,405.76,556.15
2525.08,731.45,415.04,561.04
2525.11,732.91,410.16,522.95
2525.14,729,428.22,532.23
2525.18,751.95,411.62,559.08
2525.21,741.7,405.27,557.62
2525.24,735.35,406.25,539.55
2525.28,717.29,416.5,533.2
2525.31,746.58,432.62,550.78
2525.35,728.52,409.67,543.46
2525.38,742.68,406.25,546.87
2525.41,717.29,405.76,559.57
2525.45,729.98,409.67,547.36
2525.48,753.42,420.9,542.97
2525.52,737.3,421.87,546.87
2525.55,748.05,411.62,540.53
2525.58,740.72,411.62,538.09
2525.62,730.47,407.71,547.36
2525.65,740.23,403.32,545.9
2525.69,732.42,410.16,556.64
2525.72,748.05,419.43,548.34
2525.75,732.42,410.16,546.39
2525.79,737.3,411.13,547.85
2525.82,734.86,411.62,546.87
2525.85,748.54,419.92,548.83
2525.89,731.93,418.95,539.06
2525.92,739.26,424.8,538.57
2525.96,736.82,414.06,551.27
2525.99,747.07,407.23,541.5
2526.02,728.03,418.46,534.18
2526.06,743.65,401.86,543.46
2526.09,734.37,401.37,554.69
2526.13,746.09,408.2,554.2
2526.16,745.61,415.04,544.43
2526.19,741.7,417.48,533.69
2526.23,745.12,407.23,540.53
2526.26,743.16,405.27,544.43
2526.3,741.21,408.2,539.06
2526.33,740.23,418.46,551.76
2526.36,735.84,412.11,553.22
2526.4,741.7,408.69,529.3
2526.43,736.33,405.76,542.97
2526.47,747.56,416.99,563.48
2526.5,742.19,406.25,542.97
2526.53,736.82,400.39,544.43
2526.57,737.3,418.95,539.55
2526.6,745.12,417.48,537.6
2526.63,743.16,419.92,546.39
