Program Time [s],data 0,data 1,data 2
8.5702,705.57,352.05,616.7
8.57463,726.56,347.17,616.21
8.579,719.24,341.8,609.37
8.58335,717.29,348.14,622.56
8.58765,731.45,353.52,624.51
8.59208,721.19,358.89,621.58
8.59641,728.52,356.93,622.56
8.60081,724.61,352.54,622.56
8.60516,728.52,335.45,599.61
8.60954,715.33,342.77,620.61
8.61389,722.17,349.12,611.33
8.61829,708.01,347.17,613.77
8.62261,710.94,356.93,611.82
8.627,726.56,350.59,619.14
8.63137,719.24,353.03,610.84
8.63574,722.66,355.96,612.79
8.64006,715.33,347.66,624.02
8.64449,715.33,343.75,606.45
8.64882,715.82,350.59,621.09
8.65314,706.54,351.07,616.7
8.65759,710.94,354.98,616.7
8.66195,729.98,355.47,620.61
8.66634,713.38,356.93,620.12
8.6706,723.14,365.72,619.63
8.67503,715.33,350.59,610.84
8.6794,709.47,349.12,617.68
8.68373,700.68,354.98,613.77
8.68806,720.21,358.89,625
8.6925,722.66,345.7,620.61
8.69251,714.36,345.7,616.7
8.69843,717.29,335.94,618.16
8.70276,714.36,355.47,618.65
8.70717,718.26,342.77,620.61
8.71155,718.26,344.73,618.16
8.71589,714.36,353.03,621.09
8.72026,722.66,341.31,612.3
8.72466,729.98,345.7,627.44
8.72902,718.75,339.84,617.68
8.73339,719.73,356.45,614.75
8.73769,721.19,344.24,621.58
8.74213,710.45,345.21,612.3
8.74646,720.21,354.49,622.07
8.75084,719.73,345.7,616.7
8.7552,718.75,344.24,617.68
8.75958,713.38,354,614.26
8.76391,726.07,354,619.63
8.76833,715.82,343.26,624.02
8.77267,717.29,341.31,625
8.77704,721.68,360.84,616.21
8.7814,717.77,342.77,614.75
8.78573,721.19,349.12,628.91
8.79015,715.33,344.24,625
8.79452,726.56,345.21,617.68
8.79887,730.96,351.56,621.09
8.80317,715.82,349.12,618.65
8.80762,713.87,344.24,625
8.81196,719.24,350.1,616.21
8.81635,723.14,357.42,604.98
8.82069,723.63,355.47,619.63
8.8251,717.29,355.47,604.98
8.82942,722.66,351.07,617.68
8.82943,718.75,343.75,610.84
8.83536,728.52,340.82,615.72
8.83976,725.59,361.33,615.23
8.84412,729,354.49,610.35
8.84849,717.29,359.37,624.02
8.85285,702.64,339.84,606.93
8.85726,715.33,340.33,620.61
8.86161,707.52,343.75,619.63
8.86595,705.08,348.14,609.86
8.87031,723.14,346.19,617.19
8.8747,712.4,342.77,614.75
8.87902,719.24,357.91,621.58
8.88337,707.03,340.82,622.56
8.88773,723.63,356.45,622.56
8.89214,713.38,354,621.09
8.8965,724.61,349.12,616.7
8.90089,708.98,348.63,624.51
8.90523,711.43,336.43,625
8.90961,724.61,351.56,624.02
8.91398,725.1,344.73,620.61
8.91831,713.38,348.63,609.37
8.92272,713.87,338.87,618.65
8.92708,711.91,346.68,625
8.9314,700.68,343.75,614.75
8.93577,729.98,354.49,615.72
8.94016,723.14,342.29,622.07
8.94454,715.82,350.59,609.37
8.9489,718.75,347.66,613.77
8.95323,714.84,351.07,616.21
8.95764,706.54,352.05,617.68
8.96205,708.98,364.75,617.68
8.96638,731.93,359.37,607.91
8.96639,722.66,342.77,614.26
8.97239,719.24,349.61,621.09
8.97676,722.17,349.61,614.26
8.98112,727.05,353.03,616.7
8.98543,726.56,353.52,608.89
8.98984,716.31,355.47,613.28
8.99415,712.89,344.24,616.21
8.99849,720.21,343.26,619.63
9.00293,706.54,334.47,616.21
9.00726,720.7,334.47,614.75
9.01163,728.52,346.68,625
9.01599,708.01,348.63,611.82
9.02031,713.87,343.75,619.63
9.02472,700.2,351.56,607.42
9.02908,716.31,353.52,629.88
9.03345,715.33,338.38,624.02
9.03778,726.07,347.66,613.28
9.04219,701.17,355.47,619.63
9.04655,711.43,343.26,611.33
9.05089,719.24,351.07,611.82
9.05523,726.56,360.84,616.21
9.05963,714.36,337.89,623.54
9.06399,723.63,347.66,617.19
9.06838,706.05,338.87,623.05
9.07274,729.49,356.45,611.82
9.0771,715.33,352.05,604.98
9.08148,711.91,357.42,610.84
9.08585,715.33,344.73,620.61
9.09018,717.29,345.21,609.37
9.09457,708.98,352.05,620.12
9.09894,715.33,357.42,618.16
9.10331,724.61,348.14,612.3
9.10331,724.12,354.49,620.12
9.10925,734.86,355.47,619.63
9.11362,723.63,334.96,619.14
9.11799,709.47,347.66,619.63
9.12234,715.82,351.07,618.16
9.1267,704.59,349.61,616.21
9.13106,713.87,359.37,617.19
9.13542,715.33,350.59,615.72
9.13982,702.15,357.42,623.54
9.14417,721.68,342.77,618.16
9.14855,710.45,345.21,616.7
9.15289,705.08,347.66,622.07
9.15728,722.17,349.12,600.59
9.16165,723.14,353.52,622.07
9.166,712.4,354.98,615.72
9.17034,720.7,356.93,615.23
9.17475,712.89,333.01,609.37
9.1791,716.31,358.4,625.98
9.18347,722.66,352.54,622.07
9.18784,727.05,368.16,616.21
9.19221,721.68,357.91,618.16
9.19658,708.98,355.96,617.68
9.20094,717.29,346.19,616.7
9.20535,716.31,336.91,614.26
9.20968,726.07,339.36,608.89
9.21403,716.8,355.96,621.58
9.2184,726.56,348.14,625
9.22276,721.68,335.94,626.46
9.22713,715.33,361.82,608.89
9.2315,716.8,332.03,613.77
9.23581,718.26,353.03,622.07
9.24021,711.43,357.91,619.14
9.24021,714.84,354,629.39
9.24617,711.91,341.8,622.07
9.25056,720.21,354,620.12
9.25488,712.89,349.61,620.61
9.25928,723.14,354.49,618.65
9.26365,699.22,344.24,625
9.26805,727.05,349.61,623.54
9.2724,723.63,344.24,625
9.27674,716.8,351.07,610.84
9.2811,720.21,356.45,610.35
9.2855,712.89,363.77,609.37
9.28981,736.33,349.61,607.42
9.29421,721.19,354,619.63
9.29857,723.63,354.49,616.21
9.30291,720.21,343.26,625
9.30735,721.19,352.05,621.09
9.31165,726.07,350.59,616.7
9.31604,708.98,344.24,607.91
9.32037,718.75,356.45,621.58
9.32477,720.21,346.19,625.49
9.32915,713.87,343.75,608.89
9.3335,710.45,347.17,620.61
9.33784,730.47,346.68,617.19
9.34223,713.87,348.63,623.54
9.34661,712.4,351.56,622.07
9.35097,729.98,354.98,622.07
9.35532,732.42,365.72,615.72
9.35973,716.31,353.52,616.21
9.36407,721.19,349.61,612.79
9.36844,720.21,351.07,618.65
9.37279,722.17,351.07,625.98
9.37716,722.17,333.5,619.14
9.37716,731.45,341.31,624.51
9.38313,729,340.33,617.19
9.38747,728.03,359.37,610.35
9.39185,715.82,351.07,613.77
9.3962,719.73,346.19,617.68
9.40058,719.24,344.24,615.72
9.40495,713.38,344.73,620.12
